host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
gluten,nkgen,1,0.0,2.2,46415,1000,0,22060584,8,1,301
gluten,nkgen,1,0.0,2.2,100000,1000,0,48281344,16,3,636
gluten,nkgen,1,0.0,2.2,215443,1000,0,103179121,38,12,1374
gluten,nkgen,1,0.0,2.2,464158,1000,0,221739865,80,24,3049
gluten,nkgen,1,0.0,2.2,1000000,1000,0,487641643,181,46,7107
gluten,nkgen,1,0.0,2.2,2154434,1000,0,1056918795,445,90,14203
gluten,nkgen,1,0.0,2.2,4641588,1000,0,2293796782,924,265,30852
gluten,nkgen,1,0.0,2.2,10000000,1000,0,5001304148,2042,628,65338
gluten,nkgen,1,0.0,2.2,21544346,1000,0,10691426315,4478,1210,137820
gluten,nkgen,1,0.0,2.2,46415888,1000,0,23103573632,9803,2417,286641
gluten,nkgen,1,0.0,2.2,100000000,1000,0,49574684763,21510,5350,609181
gluten,nkgen,1,0.0,3.0,2154,10,0,10698,0,0,1
gluten,nkgen,1,0.0,3.0,4641,10,0,23571,1,0,3
gluten,nkgen,1,0.0,3.0,10000,10,0,46864,2,0,6
gluten,nkgen,1,0.0,3.0,21544,10,0,105797,4,1,12
gluten,nkgen,1,0.0,3.0,46415,10,0,227287,8,3,23
gluten,nkgen,1,0.0,3.0,100000,10,0,500262,17,5,47
gluten,nkgen,1,0.0,3.0,215443,10,0,1074128,33,15,107
gluten,nkgen,1,0.0,3.0,464158,10,0,2329298,73,27,210
gluten,nkgen,1,0.0,3.0,1000000,10,0,4960361,161,54,408
gluten,nkgen,1,0.0,3.0,2154434,10,0,10810972,352,101,828
gluten,nkgen,1,0.0,3.0,4641588,10,0,23177667,820,300,1962
gluten,nkgen,1,0.0,3.0,10000000,10,0,50006236,1813,631,4262
gluten,nkgen,1,0.0,3.0,21544346,10,0,107517018,3983,1445,8826
gluten,nkgen,1,0.0,3.0,46415888,10,0,231627777,8695,2793,19037
gluten,nkgen,1,0.0,3.0,100000000,10,0,500392668,19807,6520,43400
gluten,nkgen,1,0.0,3.0,2154,100,0,106206,0,0,3
gluten,nkgen,1,0.0,3.0,4641,100,0,232746,1,0,8
gluten,nkgen,1,0.0,3.0,10000,100,0,508502,2,0,16
gluten,nkgen,1,0.0,3.0,21544,100,0,1095959,4,1,30
gluten,nkgen,1,0.0,3.0,46415,100,0,2330503,8,2,56
gluten,nkgen,1,0.0,3.0,100000,100,0,4960401,16,4,106
gluten,nkgen,1,0.0,3.0,215443,100,0,10730498,36,14,250
gluten,nkgen,1,0.0,3.0,464158,100,0,23488504,81,27,524
gluten,nkgen,1,0.0,3.0,1000000,100,0,49731166,176,53,1069
gluten,nkgen,1,0.0,3.0,2154434,100,0,107478086,357,99,2167
gluten,nkgen,1,0.0,3.0,4641588,100,0,232076440,827,292,4405
gluten,nkgen,1,0.0,3.0,10000000,100,0,500718751,1815,724,9441
gluten,nkgen,1,0.0,3.0,21544346,100,0,1076474776,3996,1343,19210
gluten,nkgen,1,0.0,3.0,46415888,100,0,2320157388,8707,2641,40911
gluten,nkgen,1,0.0,3.0,100000000,100,0,5005878074,19206,6455,90272
gluten,nkgen,1,0.0,3.0,4641,1000,0,2136074,0,0,35
gluten,nkgen,1,0.0,3.0,10000,1000,0,4767587,2,0,78
gluten,nkgen,1,0.0,3.0,21544,1000,0,10552949,4,0,143
gluten,nkgen,1,0.0,3.0,46415,1000,0,22931964,8,1,301
gluten,nkgen,1,0.0,3.0,100000,1000,0,49923712,16,3,637
gluten,nkgen,1,0.0,3.0,215443,1000,0,107287490,36,11,1382
gluten,nkgen,1,0.0,3.0,464158,1000,0,232349592,81,26,3021
gluten,nkgen,1,0.0,3.0,1000000,1000,0,499374477,179,52,6409
gluten,nkgen,1,0.0,3.0,2154434,1000,0,1077591455,391,94,13642
gluten,nkgen,1,0.0,3.0,4641588,1000,0,2322280936,907,285,29672
gluten,nkgen,1,0.0,3.0,10000000,1000,0,4989127695,1962,600,64529
gluten,nkgen,1,0.0,3.0,21544346,1000,0,10767871576,4046,1246,136889
gluten,nkgen,1,0.0,3.0,46415888,1000,0,23201590401,8731,2753,258633
gluten,nkgen,1,0.0,3.0,100000000,1000,0,49976014561,19277,5535,535198
gluten,nkgen,1,0.5,2.2,2154,10,0,6930,30,1,82
gluten,nkgen,1,0.5,2.2,4641,10,0,15177,1,5,110
gluten,nkgen,1,0.5,2.2,10000,10,0,29985,2,8,309
gluten,nkgen,1,0.5,2.2,21544,10,0,85090,3,14,942
gluten,nkgen,1,0.5,2.2,46415,10,0,155657,8,39,2997
gluten,nkgen,1,0.5,2.2,100000,10,0,339761,17,69,8212
gluten,nkgen,1,0.5,2.2,215443,10,0,792878,38,183,26221
gluten,nkgen,1,0.5,2.2,464158,10,0,1824408,100,366,78477
gluten,nkgen,1,0.5,2.2,1000000,10,0,4179450,187,922,249664
gluten,nkgen,1,0.5,2.2,2154434,10,0,9251418,400,1963,772370
gluten,nkgen,1,0.5,2.2,4641588,10,0,-1,-1,-1,-1
gluten,nkgen,1,0.5,2.2,10000000,10,0,-1,-1,-1,-1
gluten,nkgen,1,0.5,2.2,21544346,10,0,-1,-1,-1,-1
