host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkbin,1,0.9,2.2,464158,1000,0,75401214,89,51,42717
compute5,nkbin,1,0.9,2.2,1000000,1000,0,181012463,205,117,100954
compute5,nkbin,1,0.9,2.2,2154434,1000,0,418731553,476,264,238712
compute5,nkbin,1,0.9,2.2,4641588,1000,0,973934857,1161,581,572999
compute5,nkbin,1,0.9,2.2,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,2154,10,0,6333,0,0,10
compute5,nkbin,1,0.9,3.0,4641,10,0,13295,0,0,23
compute5,nkbin,1,0.9,3.0,10000,10,0,31701,1,0,60
compute5,nkbin,1,0.9,3.0,21544,10,0,71330,3,1,125
compute5,nkbin,1,0.9,3.0,46415,10,0,157493,7,3,274
compute5,nkbin,1,0.9,3.0,100000,10,0,354629,16,8,648
compute5,nkbin,1,0.9,3.0,215443,10,0,790376,36,19,1612
compute5,nkbin,1,0.9,3.0,464158,10,0,1758857,84,44,4116
compute5,nkbin,1,0.9,3.0,1000000,10,0,3877830,195,105,7696
compute5,nkbin,1,0.9,3.0,2154434,10,0,8512746,456,251,17850
compute5,nkbin,1,0.9,3.0,4641588,10,0,18791079,1115,573,43787
compute5,nkbin,1,0.9,3.0,10000000,10,0,41261043,2682,1215,109243
compute5,nkbin,1,0.9,3.0,21544346,10,0,90461555,6320,2579,204254
compute5,nkbin,1,0.9,3.0,46415888,10,0,198118832,14647,5981,463797
compute5,nkbin,1,0.9,3.0,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,3.0,2154,100,0,46741,0,0,33
compute5,nkbin,1,0.9,3.0,4641,100,0,104002,0,0,76
compute5,nkbin,1,0.9,3.0,10000,100,0,250899,1,0,194
compute5,nkbin,1,0.9,3.0,21544,100,0,604340,3,1,457
compute5,nkbin,1,0.9,3.0,46415,100,0,1368282,7,4,989
compute5,nkbin,1,0.9,3.0,100000,100,0,3100937,17,11,2251
compute5,nkbin,1,0.9,3.0,215443,100,0,7052537,37,26,5468
compute5,nkbin,1,0.9,3.0,464158,100,0,15922941,86,52,13750
