[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,2,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,1023.07,46669002,933.38
[CSV]compute5,2,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,2363.75,107809470,1000.82
[CSV]compute5,2,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,4984.74,224760825,968.467
[CSV]compute5,2,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,10981.3,502024866,1004.05
[CSV]compute5,2,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,23638.6,1077453989,1000.22
[CSV]compute5,2,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,50668.5,2305470257,993.397
[CSV]compute5,2,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,109272,4955246669,991.049
[CSV]compute5,2,NkOpt,10000,10,1,3,15.683,0.0,5.48744,46834,9.3668
[CSV]compute5,2,NkOpt,10000,10,1,3,15.683,0.0,5.40236,51452,10.2904
[CSV]compute5,2,NkOpt,21544,10,1,3,17.2179,0.0,10.7232,106060,9.8459
[CSV]compute5,2,NkOpt,46415,10,1,3,18.7527,0.0,23.9443,232233,10.0068
[CSV]compute5,2,NkOpt,100000,10,1,3,20.2913,0.0,54.2648,502298,10.046
[CSV]compute5,2,NkOpt,215443,10,1,3,21.8265,0.0,120.254,1066250,9.89821
[CSV]compute5,2,NkOpt,464158,10,1,3,23.3616,0.0,274.205,2320719,9.99969
[CSV]compute5,2,NkOpt,1000000,10,1,3,24.8968,0.0,562.591,4998985,9.99797
[CSV]compute5,2,NkOpt,2154434,10,1,3,26.4319,0.0,1300.87,10805040,10.0305
[CSV]compute5,2,NkOpt,4641588,10,1,3,27.9671,0.0,3129.95,23161141,9.97983
[CSV]compute5,2,NkOpt,10000000,10,1,3,29.5022,0.0,7340.18,49912921,9.98258
[CSV]compute5,2,NkOpt,21544346,10,1,3,31.0374,0.0,15216.9,107732171,10.001
[CSV]compute5,2,NkOpt,46415888,10,1,3,32.5725,0.0,35214.2,231965798,9.9951
[CSV]compute5,2,NkOpt,100000000,10,1,3,34.1046,0.0,82169.4,500657208,10.0131
[CSV]compute5,2,NkOpt,10000,100,1,3,11.0622,0.0,15.6751,503750,100.75
[CSV]compute5,2,NkOpt,10000,100,1,3,11.0622,0.0,15.6027,519569,103.914
[CSV]compute5,2,NkOpt,21544,100,1,3,12.6063,0.0,31.7953,1076422,99.9278
[CSV]compute5,2,NkOpt,46415,100,1,3,14.1455,0.0,68.6101,2322615,100.08
[CSV]compute5,2,NkOpt,100000,100,1,3,15.683,0.0,150.08,5014879,100.298
[CSV]compute5,2,NkOpt,215443,100,1,3,17.2191,0.0,330.124,10733555,99.6417
[CSV]compute5,2,NkOpt,464158,100,1,3,18.7545,0.0,735.75,23349745,100.611
[CSV]compute5,2,NkOpt,1000000,100,1,3,20.2899,0.0,1517.13,49840370,99.6807
[CSV]compute5,2,NkOpt,2154434,100,1,3,21.825,0.0,3320.66,107805726,100.078
[CSV]compute5,2,NkOpt,4641588,100,1,3,23.36,0.0,7432.17,231734507,99.8514
