[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,1,Embedder,46415,10,0.6,0,22.4896,116.688,247828,10.6788
[CSV]compute5,1,Embedder,100000,10,0.6,0,24.112,272.176,508444,10.1689
[CSV]compute5,1,Embedder,215443,10,0.6,0,25.7171,625.706,1018123,9.45144
[CSV]compute5,1,Embedder,464158,10,0.6,0,27.3193,1942.64,2238573,9.64574
[CSV]compute5,1,Embedder,1000000,10,0.6,0,28.9054,4853.05,4789845,9.57969
[CSV]compute5,1,Embedder,2154434,10,0.6,0,30.488,13084.7,11300377,10.4903
[CSV]compute5,1,Embedder,4641588,10,0.6,0,32.0655,19663.5,21690755,9.34626
[CSV]compute5,1,Embedder,10000000,10,0.6,0,33.6363,49180.4,50917327,10.1835
[CSV]compute5,1,Embedder,21544346,10,0.6,0,35.2051,105135,104157284,9.66911
[CSV]compute5,1,Embedder,10000,100,0.6,0,14.0942,174.938,505019,101.004
[CSV]compute5,1,Embedder,10000,100,0.6,0,14.0942,163.407,463792,92.7584
[CSV]compute5,1,Embedder,21544,100,0.6,0,15.8307,420.081,1027741,95.4086
[CSV]compute5,1,Embedder,46415,100,0.6,0,17.531,1068.31,2289278,98.6439
[CSV]compute5,1,Embedder,100000,100,0.6,0,19.2046,2569.96,4739028,94.7806
[CSV]compute5,1,Embedder,215443,100,0.6,0,20.8564,3528.88,10711250,99.4347
[CSV]compute5,1,Embedder,464158,100,0.6,0,22.4907,8609.85,23287005,100.341
[CSV]compute5,1,Embedder,1000000,100,0.6,0,24.1109,21450.8,49801299,99.6026
[CSV]compute5,1,Embedder,2154434,100,0.6,0,25.7189,53090.3,106292902,98.6736
[CSV]compute5,1,Embedder,4641588,100,0.6,0,27.3174,120198,222054011,95.6802
[CSV]compute5,1,Embedder,21544,1000,0.6,0,10.4538,3815.3,9330428,866.174
[CSV]compute5,1,Embedder,46415,1000,0.6,0,12.309,10897.8,21863745,942.098
[CSV]compute5,1,Embedder,100000,1000,0.6,0,14.0941,16526.4,47921989,958.44
[CSV]compute5,1,Embedder,215443,1000,0.6,0,15.8305,42460.2,105010916,974.837
[CSV]compute5,1,Embedder,464158,1000,0.6,0,17.5312,108057,231261485,996.477
[CSV]compute5,1,Embedder,10000,10,1,0,15.683,26.4935,49226,9.8452
[CSV]compute5,1,Embedder,10000,10,1,0,15.683,27.3294,51055,10.211
[CSV]compute5,1,Embedder,21544,10,1,0,17.2179,62.4476,108751,10.0957
[CSV]compute5,1,Embedder,46415,10,1,0,18.7527,138.542,227967,9.82299
[CSV]compute5,1,Embedder,100000,10,1,0,20.2913,312.528,493268,9.86536
[CSV]compute5,1,Embedder,215443,10,1,0,21.8265,750.067,1077132,9.99923
[CSV]compute5,1,Embedder,464158,10,1,0,23.3616,1655.76,2317169,9.9844
[CSV]compute5,1,Embedder,1000000,10,1,0,24.8968,3697.67,4985561,9.97112
[CSV]compute5,1,Embedder,2154434,10,1,0,26.4319,5544.61,10758589,9.98739
[CSV]compute5,1,Embedder,4641588,10,1,0,27.9671,12685.2,23166801,9.98227
[CSV]compute5,1,Embedder,10000000,10,1,0,29.5022,32052.5,50075986,10.0152
[CSV]compute5,1,Embedder,21544346,10,1,0,31.0374,83316.3,107502441,9.97964
[CSV]compute5,1,Embedder,46415888,10,1,0,32.5725,167596,231932367,9.99366
[CSV]compute5,1,Embedder,10000,100,1,0,11.0622,363.993,503790,100.758
[CSV]compute5,1,Embedder,10000,100,1,0,11.0622,364.16,492345,98.469
[CSV]compute5,1,Embedder,21544,100,1,0,12.6063,433.441,1062788,98.6621
[CSV]compute5,1,Embedder,46415,100,1,0,14.1455,1012.85,2281516,98.3094
[CSV]compute5,1,Embedder,100000,100,1,0,15.683,2392.51,4974968,99.4994
[CSV]compute5,1,Embedder,215443,100,1,0,17.2191,5646.17,10777521,100.05
[CSV]compute5,1,Embedder,464158,100,1,0,18.7545,12945.1,23251029,100.186
[CSV]compute5,1,Embedder,1000000,100,1,0,20.2899,29426.9,50264089,100.528
[CSV]compute5,1,Embedder,2154434,100,1,0,21.825,67881.8,107332047,99.6383
[CSV]compute5,1,Embedder,4641588,100,1,0,23.36,150312,232421396,100.147
[CSV]compute5,1,Embedder,21544,1000,1,0,7.93843,6118.82,10565484,980.828
[CSV]compute5,1,Embedder,46415,1000,1,0,9.50959,14979,22695096,977.921
[CSV]compute5,1,Embedder,100000,1000,1,0,11.0624,36704.9,49854328,997.087
[CSV]compute5,1,Embedder,215443,1000,1,0,12.6062,43153.3,107512010,998.055
[CSV]compute5,1,Embedder,464158,1000,1,0,14.1456,100658,231942371,999.411
[CSV]compute5,1,Embedder,10000,10,0.6,0.5,20.9825,118.467,26396,5.2792
[CSV]compute5,1,Embedder,10000,10,0.6,0.5,20.9825,119.028,29244,5.8488
[CSV]compute5,1,Embedder,21544,10,0.6,0.5,22.5176,242.984,63651,5.90893
[CSV]compute5,1,Embedder,46415,10,0.6,0.5,24.0526,479.991,140479,6.05317
[CSV]compute5,1,Embedder,100000,10,0.6,0.5,25.5877,964.966,290441,5.80882
[CSV]compute5,1,Embedder,215443,10,0.6,0.5,27.1228,1997.48,683848,6.3483
[CSV]compute5,1,Embedder,464158,10,0.6,0.5,28.6578,4149.15,1562548,6.73283
[CSV]compute5,1,Embedder,1000000,10,0.6,0.5,30.1929,9157.12,3743618,7.48724
[CSV]compute5,1,Embedder,2154434,10,0.6,0.5,31.7279,19774.3,8069110,7.4907
[CSV]compute5,1,Embedder,4641588,10,0.6,0.5,33.263,42461.9,17928983,7.72537
[CSV]compute5,1,Embedder,10000000,10,0.6,0.5,34.7981,128345,35630104,7.12602
[CSV]compute5,1,Embedder,10000,100,0.6,0.5,16.3774,115.123,199376,39.8752
